,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
0,1979-01-16 09:00:00,101606.66157651489,101383.15893280867,101428.13565302978,101213.01435846253,101511.9420625868,101545.02484459165
1,1979-02-14 21:00:00,101394.27032849863,101252.04942095012,101210.20287083415,101112.30715488762,101275.66379247862,101318.99752748615
2,1979-03-16 09:00:00,101257.44931847314,101145.30495489869,101071.63264810287,101033.92897018488,101059.84847829529,100978.20910958029
3,1979-04-15 21:00:00,100934.00785005264,100897.20710581884,100800.62861077624,100911.04500714336,100756.78498380588,100698.05888517045
4,1979-05-16 09:00:00,100755.18803050563,100832.22066697312,100481.77617002121,100890.57142846925,100475.60081180473,100448.76774726092
5,1979-06-15 21:00:00,100185.3554347142,100426.06339124945,100361.15839348115,100832.25961705363,100144.55345493874,100019.70428329048
6,1979-07-16 09:00:00,100177.52646853495,100496.37182745716,100495.32371620025,100987.95371153657,100281.97996167008,100161.88269984207
7,1979-08-16 09:00:00,100221.39842283659,100522.70208187097,100502.98980022469,100942.11654862818,100269.38846292136,100055.60563475653
8,1979-09-15 21:00:00,100756.57961065418,100820.09302827393,100683.0878905952,100919.18203305015,100633.3805060523,100587.25652891482
9,1979-10-16 09:00:00,101263.27766688158,101201.89234002336,101107.7322908878,101142.56428559849,101118.50375860254,101123.20609559306
10,1979-11-15 21:00:00,101204.34973601086,101002.97781985794,101031.98500707658,100917.46468859202,101177.51313055064,101237.88221439962
11,1979-12-16 09:00:00,101631.98975158509,101423.59265727764,101419.07090702394,101220.93892938482,101520.64563511894,101584.25111656531
12,1980-01-16 09:00:00,101593.2096350789,101367.74532368235,101365.107340958,101172.53460208027,101414.0286420582,101446.36074978448
13,1980-02-15 09:00:00,101449.95832085554,101270.75608233639,101287.32048929547,101152.97812075596,101299.15777284918,101301.6647416664
14,1980-03-16 09:00:00,101298.1627753384,101196.1843827728,101149.12560370348,101117.63269316604,101138.9525508618,101079.67406926662
15,1980-04-15 21:00:00,100890.07215925565,100887.31378537341,100845.80362231623,100908.42472900104,100801.85730877,100684.9999854558
16,1980-05-16 09:00:00,100639.49212777342,100797.07707161849,100550.10169304015,100861.28804977074,100487.77802333367,100433.87465284666
17,1980-06-15 21:00:00,100039.9724888129,100280.65565893329,100409.08469707056,100865.25741706468,100191.5484975127,100084.24810758511
18,1980-07-16 09:00:00,100108.54941689683,100473.10800665314,100501.03167345078,101021.39058518228,100208.86003783398,100048.78937067013
19,1980-08-16 09:00:00,100311.42268160699,100614.96419981155,100637.20823668991,101098.35240332161,100374.68823507812,100196.30394824936
