,months,kandla,mumbai,chennai,kochi,vishakhapatnam,paradip
0,16-01-1979 10:30,5.665902,6.2665405,5.6607256,7.0157404,6.766089,8.471617
1,14-02-1979 22:30,5.866951,5.950733,6.4983835,7.0868177,7.785351,8.613942
2,16-03-1979 10:30,6.392095,5.9516625,6.7661567,7.8903694,7.41944,7.469877
3,15-04-1979 22:30,6.667983,6.8165092,6.26262,7.7736387,6.852159,7.1722794
4,16-05-1979 10:30,6.5838804,7.344239,6.673715,7.8585525,7.428469,7.736837
5,15-06-1979 22:30,8.265633,8.444209,6.016581,8.446345,7.0120187,7.7240906
6,16-07-1979 10:30,8.34864,8.451283,6.2896714,8.144988,7.5711913,8.301097
7,16-08-1979 10:30,8.064167,8.173189,7.0139437,8.335203,7.509178,7.9363375
8,15-09-1979 22:30,7.6014495,8.135565,7.2810793,8.395504,8.329227,8.847162
9,16-10-1979 10:30,7.556886,8.016329,6.84636,8.757597,8.565008,9.847819
10,15-11-1979 22:30,6.9389253,7.0647902,5.8953238,7.7804794,6.962667,8.7211
11,16-12-1979 10:30,7.503923,7.3660736,5.97849,8.28919,6.7003617,8.706198
12,16-01-1980 10:30,5.614711,5.89837,6.21136,7.460257,7.82525,8.515829
13,15-02-1980 10:30,6.4675703,6.311542,7.2973747,7.813922,8.244711,8.221441
14,16-03-1980 10:30,6.6460967,6.5966735,6.715065,7.9810576,7.704487,7.806909
15,15-04-1980 22:30,7.139138,7.496402,7.307116,8.76689,7.7477293,7.4122467
16,16-05-1980 10:30,6.745154,7.832901,6.397256,8.792635,7.3717475,7.22539
17,15-06-1980 22:30,9.20572,8.939245,7.0223274,8.678805,7.6461234,8.449623
18,16-07-1980 10:30,8.643023,8.658132,6.526747,8.631203,7.5752687,8.678602
19,16-08-1980 10:30,8.559958,8.457819,6.7612433,8.83682,7.6860113,8.837561
20,15-09-1980 22:30,7.871516,8.53335,6.962823,8.684026,8.148585,9.072732
21,16-10-1980 10:30,7.821112,8.308961,7.642189,8.773007,9.272787,10.0108
22,15-11-1980 22:30,7.2976685,7.04896,5.747943,8.452234,6.373086,8.561825
23,16-12-1980 10:30,6.6621504,6.826706,6.014524,7.6705847,6.6203904,8.2181425
24,16-01-1981 10:30,6.0549636,6.1171045,6.2302237,7.2874465,7.022216,7.8516703
25,14-02-1981 22:30,6.297729,6.199185,7.1811895,7.392785,7.8410134,8.258337
26,16-03-1981 10:30,6.5883026,6.8231444,6.2589173,7.308078,7.5308657,7.4243917
27,15-04-1981 22:30,6.5258703,6.999072,5.9141464,7.600351,6.751792,7.077578
28,16-05-1981 10:30,7.021501,8.033644,6.173482,8.307943,7.5190973,7.986085
29,15-06-1981 22:30,7.968751,8.398779,6.497275,8.033018,7.368497,8.374944
30,16-07-1981 10:30,8.407639,8.417597,6.808474,8.059996,7.0766206,7.367344
31,16-08-1981 10:30,8.156761,8.1580105,6.695647,8.493532,7.3965807,8.413973
32,15-09-1981 22:30,7.9987307,8.319907,7.001429,8.154512,8.464218,8.943162
33,16-10-1981 10:30,8.430569,8.683908,7.004326,8.739036,8.263239,9.817357
34,15-11-1981 22:30,7.0908685,6.5718284,6.0207853,7.810813,6.217472,7.103976
35,16-12-1981 10:30,5.617671,5.8472843,6.3188696,7.623395,6.307593,6.964338
36,16-01-1982 10:30,5.6443624,6.6057982,6.04257,7.5159607,7.3964586,8.59922
37,14-02-1982 22:30,6.07918,5.9756107,6.7384667,6.879628,7.9178023,8.188484
38,16-03-1982 10:30,6.3562784,6.507479,6.647406,7.2207575,7.676469,7.997355
39,15-04-1982 22:30,6.644502,7.158778,6.461426,7.5708847,7.056422,6.76733
